f,dB
1.000000,-27.565
1.888641,-46.255
2.777283,-45.269
3.665924,-47.877
4.554566,-48.952
5.443207,-47.519
6.331849,-47.243
7.220490,-49.424
8.109131,-49.379
8.997773,-48.976
9.886414,-51.075
10.775056,-51.183
11.663697,-50.291
12.552339,-50.406
13.440980,-50.707
14.329621,-51.202
15.218263,-48.968
16.106903,-49.960
16.995546,-49.354
17.884188,-49.332
18.772827,-48.168
19.661470,-50.864
20.550112,-49.580
21.438751,-50.410
22.327395,-51.577
23.216036,-51.868
24.104675,-51.690
24.993319,-46.876
25.881960,-51.024
26.770599,-50.195
27.659245,9.750
28.547884,9.781
29.436525,-46.641
30.325169,-49.529
31.213808,-46.332
32.102451,-50.549
32.991093,-50.425
33.879730,-51.027
34.768375,-51.254
35.657017,-51.057
36.545654,-51.912
37.434296,-49.857
38.322941,-51.713
39.211578,-50.937
40.100224,-50.948
40.988865,-51.880
41.877502,-51.158
42.766148,-50.760
43.654789,-51.079
44.543430,-51.463
45.432072,-51.019
46.320713,-51.549
47.209351,-51.985
48.097996,-52.006
48.986637,-51.637
49.875279,-50.666
50.763920,-51.444
51.652561,-51.796
52.541203,-51.080
53.429844,-51.027
54.318489,-52.063
55.207127,-51.386
56.095768,-13.777
56.984409,-16.395
57.873051,-51.998
58.761692,-51.441
59.650337,-51.987
60.538975,-52.211
61.427616,-51.729
62.316257,-51.748
63.204899,-52.244
64.093536,-51.653
64.982185,-51.816
65.870827,-52.497
66.759460,-52.048
67.648102,-51.826
68.536751,-51.746
69.425392,-51.539
70.314034,-52.067
71.202675,-52.386
72.091309,-51.904
72.979950,-52.424
73.868599,-52.289
74.757240,-51.377
75.645882,-52.401
76.534523,-52.454
77.423157,-52.594
78.311806,-52.037
79.200447,-52.329
80.089088,-52.597
80.977730,-47.674
81.866371,-48.513
82.755005,-52.199
83.643654,-10.851
84.532295,0.129
85.420937,-47.818
86.309578,-50.689
87.198219,-47.711
88.086861,-48.123
