f,response
1.00000000000000e+06,-3.52185462462103e+00
1.02329299228075e+06,-3.52185464819330e+00
1.04712854805090e+06,-3.52185467294623e+00
1.07151930523761e+06,-3.52185469894608e+00
1.09647819614319e+06,-3.52185472626382e+00
1.12201845430196e+06,-3.52185475497561e+00
1.14815362149688e+06,-3.52185478516331e+00
1.17489755493953e+06,-3.52185481691505e+00
1.20226443461741e+06,-3.52185485032593e+00
1.23026877081238e+06,-3.52185488549873e+00
1.25892541179417e+06,-3.52185492254478e+00
1.28824955169313e+06,-3.52185496158486e+00
1.31825673855641e+06,-3.52185500275037e+00
1.34896288259165e+06,-3.52185504618447e+00
1.38038426460288e+06,-3.52185509204350e+00
1.41253754462275e+06,-3.52185514049861e+00
1.44543977074593e+06,-3.52185519173747e+00
1.47910838816821e+06,-3.52185524596639e+00
1.51356124843621e+06,-3.52185530341265e+00
1.54881661891248e+06,-3.52185536432711e+00
1.58489319246111e+06,-3.52185542898729e+00
1.62181009735893e+06,-3.52185549770083e+00
1.65958690743756e+06,-3.52185557080946e+00
1.69824365246174e+06,-3.52185564869344e+00
1.73780082874937e+06,-3.52185573177686e+00
1.77827941003892e+06,-3.52185582053341e+00
1.81970085860998e+06,-3.52185591549327e+00
1.86208713666287e+06,-3.52185601725072e+00
1.90546071796325e+06,-3.52185612647309e+00
1.94984459975804e+06,-3.52185624391085e+00
1.99526231496888e+06,-3.52185637040922e+00
2.04173794466953e+06,-3.52185650692149e+00
2.08929613085404e+06,-3.52185665452425e+00
2.13796208950223e+06,-3.52185681443486e+00
2.18776162394955e+06,-3.52185698803146e+00
2.23872113856834e+06,-3.52185717687594e+00
2.29086765276777e+06,-3.52185738274028e+00
2.34422881531992e+06,-3.52185760763670e+00
2.39883291901949e+06,-3.52185785385232e+00
2.45470891568503e+06,-3.52185812398885e+00
2.51188643150958e+06,-3.52185842100822e+00
2.57039578276886e+06,-3.52185874828480e+00
2.63026799189538e+06,-3.52185910966547e+00
2.69153480392691e+06,-3.52185950953844e+00
2.75422870333816e+06,-3.52185995291227e+00
2.81838293126445e+06,-3.52186044550665e+00
2.88403150312660e+06,-3.52186099385643e+00
2.95120922666638e+06,-3.52186160543125e+00
3.01995172040201e+06,-3.52186228877265e+00
3.09029543251359e+06,-3.52186305365173e+00
3.16227766016838e+06,-3.52186391124991e+00
3.23593656929628e+06,-3.52186487436668e+00
3.31131121482591e+06,-3.52186595765810e+00
3.38844156139202e+06,-3.52186717791051e+00
3.46736850452531e+06,-3.52186855435512e+00
3.54813389233575e+06,-3.52187010902905e+00
3.63078054770101e+06,-3.52187186719006e+00
3.71535229097172e+06,-3.52187385779289e+00
3.80189396320561e+06,-3.52187611403625e+00
3.89045144994280e+06,-3.52187867399116e+00
3.98107170553497e+06,-3.52188158132267e+00
4.07380277804112e+06,-3.52188488611874e+00
4.16869383470335e+06,-3.52188864584254e+00
4.26579518801592e+06,-3.52189292642624e+00
4.36515832240165e+06,-3.52189780352756e+00
4.46683592150962e+06,-3.52190336397337e+00
4.57088189614874e+06,-3.52190970741802e+00
4.67735141287197e+06,-3.52191694824869e+00
4.78630092322638e+06,-3.52192521777445e+00
4.89778819368445e+06,-3.52193466674141e+00
5.01187233627271e+06,-3.52194546822264e+00
5.12861383991364e+06,-3.52195782093884e+00
5.24807460249772e+06,-3.52197195307413e+00
5.37031796370252e+06,-3.52198812666083e+00
5.49540873857624e+06,-3.52200664261850e+00
5.62341325190348e+06,-3.52202784654480e+00
5.75439937337156e+06,-3.52205213537088e+00
5.88843655355588e+06,-3.52207996501055e+00
6.02559586074357e+06,-3.52211185915197e+00
6.16595001861481e+06,-3.52214841936308e+00
6.30957344480192e+06,-3.52219033670736e+00
6.45654229034654e+06,-3.52223840509648e+00
6.60693448007595e+06,-3.52229353664011e+00
6.76082975391980e+06,-3.52235677929232e+00
6.91830970918935e+06,-3.52242933713921e+00
7.07945784384136e+06,-3.52251259372401e+00
7.24435960074989e+06,-3.52260813886560e+00
7.41310241300916e+06,-3.52271779949489e+00
7.58577575029182e+06,-3.52284367511251e+00
7.76247116628690e+06,-3.52298817856172e+00
7.94328234724280e+06,-3.52315408291501e+00
8.12830516164097e+06,-3.52334457539273e+00
8.31763771102669e+06,-3.52356331936979e+00
8.51138038202375e+06,-3.52381452568512e+00
8.70963589956079e+06,-3.52410303465037e+00
8.91250938133743e+06,-3.52443441036331e+00
9.12010839355908e+06,-3.52481504917101e+00
9.33254300796989e+06,-3.52525230440291e+00
9.54992586021434e+06,-3.52575462980832e+00
9.77237220955808e+06,-3.52633174449407e+00
9.99999999999998e+06,-3.52699482256909e+00
1.02329299228075e+07,-3.52775671117386e+00
1.04712854805090e+07,-3.52863218110813e+00
1.07151930523760e+07,-3.52963821488025e+00
1.09647819614318e+07,-3.53079433769304e+00
1.12201845430196e+07,-3.53212299766375e+00
1.14815362149688e+07,-3.53365000245814e+00
1.17489755493953e+07,-3.53540502050900e+00
1.20226443461741e+07,-3.53742215609664e+00
1.23026877081238e+07,-3.53974060879678e+00
1.25892541179416e+07,-3.54240542915523e+00
1.28824955169313e+07,-3.54546838392505e+00
1.31825673855640e+07,-3.54898894579394e+00
1.34896288259165e+07,-3.55303542421771e+00
1.38038426460288e+07,-3.55768625572937e+00
1.41253754462275e+07,-3.56303147386069e+00
1.44543977074592e+07,-3.56917438051842e+00
1.47910838816820e+07,-3.57623344218979e+00
1.51356124843620e+07,-3.58434443555646e+00
1.54881661891248e+07,-3.59366286775982e+00
1.58489319246111e+07,-3.60436669639781e+00
1.62181009735892e+07,-3.61665937296659e+00
1.65958690743756e+07,-3.63077323040347e+00
1.69824365246174e+07,-3.64697323002234e+00
1.73780082874937e+07,-3.66556107469538e+00
1.77827941003892e+07,-3.68687968270294e+00
1.81970085860998e+07,-3.71131799917060e+00
1.86208713666286e+07,-3.73931609823417e+00
1.90546071796324e+07,-3.77137049775508e+00
1.94984459975804e+07,-3.80803956834288e+00
1.99526231496887e+07,-3.84994886868279e+00
2.04173794466952e+07,-3.89779617932776e+00
2.08929613085403e+07,-3.95235593779535e+00
2.13796208950223e+07,-4.01448270113850e+00
2.18776162394955e+07,-4.08511318245299e+00
2.23872113856833e+07,-4.16526633222984e+00
2.29086765276777e+07,-4.25604087469226e+00
2.34422881531991e+07,-4.35860967759245e+00
2.39883291901948e+07,-4.47421034894401e+00
